Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.84,0.9457517873671542,0.8389310344827586,0.84,0.8366901408450704,0.6419357533240081
Decision Tree,0.87,0.8755554897037908,0.870129271437782,0.87,0.8694193536348709,0.7152519043774931
Knn,0.825,0.9142614228681162,0.8394965576592083,0.825,0.8055980143154006,0.5873145875609808
Naive Bayes,0.8,0.9377973786727974,0.8206772648083622,0.8,0.8049848158626784,0.6103939271005764
Random Forest,0.85,0.9395842964531683,0.8512016414051566,0.85,0.8486763449489981,0.6709457665463794
