Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.84,0.9455451607177973,0.8389310344827586,0.84,0.8366901408450704,0.6419357533240081
Decision Tree,0.85,0.8407648510674705,0.8481871461871462,0.85,0.848400728182956,0.6682448878171771
kNN,0.835,0.8968106046312402,0.8513618760757314,0.835,0.81621172939275,0.6145871479306572
Naive Bayes,0.8,0.9384968217894326,0.8206772648083622,0.8,0.8049848158626784,0.6103939271005764
Random Forest,0.85,0.9444192277481869,0.8512016414051566,0.85,0.8486763449489981,0.6709457665463794
